unique_id,p(laugh),p(drum),p(pik),overlap,truth
273072621,0.05140921186,0,0.9485907881,0.3,pik
561220301,0,0,1,0.3,pik
309454251,1,0,0,0.3,laugh
239810171,0.04795999948,0.01477353791,0.9372664626,0.3,pik
347229281,1,0,0,0.3,laugh
533570501,0.03851043439,0.7600000646,0.201489501,0.3,drum
150354041,1.14E-27,0.9999999998,2.22E-10,0.3,drum
570770731,0,1,0,0.3,drum
347858241,0.6666669581,0,0.3333330419,0.3,laugh
617342193,1.53E-36,1,2.80E-16,0.3,drum
618172651,1,0,0,0.3,laugh
104357441,0.6000506945,0.1999324074,0.2000168982,0.3,laugh
311688651,1,0,0,0.3,laugh
601652861,0.6364514638,3.04E-28,0.3635485362,0.3,laugh
323641781,1,0,2.74E-22,0.3,laugh
434372741,0,0,1,0.3,pik
318540001,1.03E-21,0.7692886478,0.2307113522,0.3,drum
616122737,0.05241932639,0.8911289207,0.05645175289,0.3,drum
490910681,0,0,1,0.3,pik
565879421,4.19E-34,0,1,0.3,laugh
520350001,0,0,1,0.3,pik
220759221,0.08351078361,0.3856461308,0.5308430856,0.3,drum
443490761,0,1,1.73E-30,0.3,drum
323237621,1,0,3.97E-16,0.3,laugh
401144841,0,1,0,0.3,drum
392495311,4.83E-38,0,1,0.3,pik
181737771,0,0,1,0.3,pik
324141031,3.36E-09,0.2587635567,0.7412364399,0.3,drum
279260991,0.3750000384,7.08E-38,0.6249999616,0.3,laugh
303711261,1.44E-35,0.6616235052,0.3383764948,0.3,drum
614563468,0,0.8824092521,0.1175907479,0.3,drum
429950981,1,0,1.14E-24,0.3,laugh
147890801,0.001658208645,0.321463459,0.6768783324,0.3,drum
436170191,2.77E-28,0.472881242,0.527118758,0.3,drum
618030099,1.12E-33,0,1,0.3,pik
464790091,1,0,0,0.3,laugh
350330041,0.5363212773,0.05587221271,0.40780651,0.3,pik
616774892,1,0,1.20E-19,0.3,laugh
155599071,0,1,5.17E-28,0.3,drum
505559401,3.33E-08,0,0.9999999667,0.3,pik
408109331,1.16E-21,6.46E-36,1,0.3,pik
356095091,5.36E-24,0,1,0.3,pik
445344591,1,0,0,0.3,laugh
349695741,1,0,0,0.3,laugh
532778151,3.72E-19,5.06E-25,1,0.3,pik
366742991,5.96E-32,0,1,0.3,pik
473274261,1,1.32E-34,0,0.3,laugh
612950835,9.31E-29,4.04E-14,1,0.3,pik
611406572,3.87E-23,0,1,0.3,pik
211006261,0,1,2.00E-27,0.3,drum
613574951,2.94E-18,1.72E-13,1,0.3,pik
462696961,1,0,0,0.3,laugh
334233671,1,0,0,0.3,laugh
90534411,1,0,2.18E-32,0.3,laugh
609014861,1,0,9.39E-28,0.3,laugh
367317641,1,0,8.75E-38,0.3,laugh
82665391,0,5.48E-21,1,0.3,pik
613508440,1,0,0,0.3,laugh
599433361,1,0,0,0.3,laugh
618381365,0,0,1,0.3,pik
369261521,0,0,1,0.3,pik
224559801,0.1349344408,0.6713001801,0.193765379,0.3,drum
616587785,0.01782957912,0.7309972745,0.2511731464,0.3,drum
376246401,1,0,7.85E-25,0.3,laugh
462975991,1,0,2.06E-36,0.3,laugh
222959451,0.03846965791,3.54E-15,0.9615303421,0.3,pik
228466501,0.3331015591,0.3881492048,0.2787492362,0.3,laugh